date,type,price,shares
2025-03-19,BUY,214.7144317626953,4.0
2025-03-28,SELL,217.36793518066406,4.0
2025-04-02,BUY,223.3433074951172,4.0
2025-04-03,SELL,202.69386291503906,4.0
2025-04-10,BUY,189.95504760742188,4.0
2025-04-17,SELL,196.4990234375,4.0
2025-04-23,BUY,204.10043334960938,4.0
2025-05-02,SELL,204.8485870361328,4.0
2025-05-12,BUY,210.55104064941406,4.0
2025-05-16,SELL,211.0205078125,4.0
2025-05-29,BUY,199.72332763671875,4.0
2025-06-06,SELL,203.68882751464844,4.0
2025-06-10,BUY,202.44024658203125,4.0
2025-06-11,SELL,198.55465698242188,4.0
2025-06-20,BUY,200.7721405029297,4.0
2025-06-26,SELL,200.7721405029297,4.0
2025-06-27,BUY,200.85205078125,4.0
2025-07-09,SELL,210.90065002441406,4.0
2025-07-11,BUY,210.92062377929688,4.0
2025-07-15,SELL,208.87295532226562,4.0
2025-07-18,BUY,210.9405975341797,4.0
2025-07-28,SELL,213.80735778808594,4.0
2025-08-06,BUY,213.0082550048828,4.0
2025-08-19,SELL,230.55999755859375,4.0
2025-08-26,BUY,229.30999755859375,4.0
2025-09-09,SELL,234.35000610351562,4.0
